,date,maximumTemp
158,02-10,18.068877551071427
159,03-10,25.927611367419356
160,04-10,32.74186507966667
161,05-10,34.507488479032254
162,06-10,34.350595238000004
163,07-10,31.104646697741934
164,08-10,29.59485407064516
165,09-10,27.726388888666666
166,10-10,26.081259600645158
167,11-10,20.352182539666668
168,12-10,13.993087557419354
169,01-11,12.309907834290321
170,02-11,17.03996598642857
171,03-11,22.66478494677419
172,04-11,27.824880952
173,05-11,33.03648233516129
174,06-11,32.16129681933334
175,07-11,30.628725037741933
176,08-11,29.884715821290325
177,09-11,29.07297619033333
178,10-11,25.550192012258066
179,11-11,20.784722221666666
180,12-11,14.540322580709676
181,01-12,12.825614439387097
182,02-12,16.199178981379312
183,03-12,22.518740399032257
184,04-12,28.220436507666673
185,05-12,33.40956221225807
186,06-12,36.13079365066667
187,07-12,31.86367127516129
188,08-12,29.26566820225806
189,09-12,29.19507936533333
190,10-12,24.63187404032258
191,11-12,18.774722222999994
192,12-12,14.965898617322582
193,01-13,12.074769584548386
194,02-13,16.867559524642857
195,03-13,22.814208909354843
196,04-13,28.895119048000005
197,05-13,33.77676651290322
198,06-13,32.480873016
199,07-13,30.663594469677417
200,08-13,29.547772657741938
201,09-13,29.840595238333332
202,10-13,26.12918586806451
203,11-13,18.811706349
204,12-13,15.179339477419354
205,01-14,13.431835637419354
206,02-14,15.746811224642856
207,03-14,21.593317972258067
208,04-14,28.058333333333334
209,05-14,31.405529953870968
210,06-14,34.770833333333336
211,07-14,32.034163127419355
212,08-14,31.411968013225803
213,09-14,29.7625
214,10-14,26.49654377870968
215,11-14,20.104166666666668
216,12-14,14.823732719032257
217,01-15,12.70852534548387
218,02-15,18.791454081428572
219,03-15,21.54781106
220,04-15,28.002976190333335
221,05-15,33.352534562258064
222,06-15,32.7375
223,07-15,30.409562211935484
224,08-15,30.33078917064516
225,09-15,30.649999999666665
226,10-15,26.865207373225807
227,11-15,20.754166666666666
228,12-15,14.989285714333334
