Date,maximumTemp
09-04-13,30.16666667
10-04-13,30
11-04-13,30
12-04-13,28.85714286
13-04-13,30.2
14-04-13,28.25
15-04-13,28.25
16-04-13,32.125
17-04-13,29.2
18-04-13,30.28571429
19-04-13,28.28571429
20-04-13,30.625
21-04-13,27.66666667
22-04-13,27.375
23-04-13,28.625
24-04-13,30.28571429
25-04-13,31.14285714
26-04-13,29.875
27-04-13,31.14285714
28-04-13,30.57142857
29-04-13,32.125
30-04-13,31.14285714
01-05-13,31.85714286
02-05-13,29.83333333
03-05-13,28.57142857
04-05-13,32.85714286
05-05-13,32.625
06-05-13,32.75
07-05-13,32.875
08-05-13,34.5
09-05-13,34.28571429
10-05-13,34
11-05-13,30.75
12-05-13,29.85714286
13-05-13,31.71428571
14-05-13,32.28571429
15-05-13,33
16-05-13,33
17-05-13,32.83333333
18-05-13,31.4
19-05-13,35.33333333
20-05-13,36.4
21-05-13,36
22-05-13,36.75
23-05-13,37.5
24-05-13,38.42857143
25-05-13,38.71428571
26-05-13,37.8
27-05-13,35.85714286
28-05-13,35.33333333
29-05-13,34.14285714
30-05-13,32.2
31-05-13,33.625
01-06-13,32
02-06-13,32.4
03-06-13,35.6
04-06-13,35.85714286
05-06-13,37.16666667
06-06-13,31.28571429
07-06-13,34
08-06-13,34.2
09-06-13,36.16666667
10-06-13,36.625
11-06-13,30.16666667
12-06-13,34.14285714
13-06-13,29.83333333
14-06-13,30.14285714
15-06-13,30.71428571
16-06-13,27
17-06-13,26.875
18-06-13,28.4
19-06-13,29.85714286
20-06-13,33
21-06-13,34.83333333
22-06-13,35.6
23-06-13,35.16666667
24-06-13,33.14285714
25-06-13,30.57142857
26-06-13,30.66666667
27-06-13,31.42857143
28-06-13,31.5
29-06-13,33.25
30-06-13,32.83333333
01-07-13,33.85714286
02-07-13,33.14285714
03-07-13,31.57142857
04-07-13,32.375
05-07-13,32.8
06-07-13,31
07-07-13,31.16666667
08-07-13,29.83333333
09-07-13,29
10-07-13,29.75
11-07-13,32.5
12-07-13,28.875
13-07-13,31.75
14-07-13,30.75
15-07-13,31.75
16-07-13,29.875
17-07-13,31.125
18-07-13,31.75
19-07-13,30.5
20-07-13,26.83333333
21-07-13,28.2
22-07-13,29.5
23-07-13,31.85714286
24-07-13,29.71428571
25-07-13,28.33333333
26-07-13,30
27-07-13,30.14285714
28-07-13,32.28571429
29-07-13,31
30-07-13,30.5
31-07-13,28.83333333
01-08-13,30
02-08-13,31.57142857
03-08-13,32.5
04-08-13,32.5
05-08-13,29.5
06-08-13,27.16666667
07-08-13,28.375
08-08-13,28.5
09-08-13,27.16666667
10-08-13,29.42857143
