,predicted_mean
7585,11.388117174160538
7586,11.378264011203814
7587,11.368419373345557
7588,11.358583253209726
7589,11.34875564342667
7590,11.338936536633108
7591,11.329125925472127
7592,11.319323802593185
7593,11.309530160652098
7594,11.299744992311037
7595,11.289968290238521
7596,11.280200047109414
7597,11.270440255604917
7598,11.260688908412561
7599,11.250945998226204
7600,11.241211517746027
7601,11.231485459678531
7602,11.22176781673652
7603,11.21205858163911
7604,11.202357747111709
7605,11.192665305886024
7606,11.182981250700045
7607,11.173305574298055
7608,11.163638269430606
7609,11.153979328854529
7610,11.144328745332917
7611,11.13468651163513
7612,11.125052620536776
7613,11.115427064819716
7614,11.10580983727206
7615,11.096200930688159
7616,11.086600337868594
7617,11.077008051620176
7618,11.06742406475594
7619,11.057848370095137
7620,11.048280960463234
7621,11.038721828691909
7622,11.029170967619034
7623,11.019628370088682
7624,11.010094028951116
7625,11.000567937062787
7626,10.991050087286325
7627,10.981540472490538
7628,10.972039085550403
7629,10.962545919347061
7630,10.953060966767808
7631,10.9435842207061
7632,10.934115674061541
7633,10.924655319739877
7634,10.91520315065299
7635,10.905759159718897
7636,10.896323339861748
7637,10.886895684011806
7638,10.877476185105454
7639,10.868064836085189
7640,10.858661629899611
7641,10.84926655950342
7642,10.839879617857413
7643,10.830500797928483
7644,10.821130092689604
7645,10.811767495119824
7646,10.802412998204272
7647,10.793066594934146
7648,10.783728278306707
7649,10.77439804132528
7650,10.765075876999235
7651,10.755761778343995
7652,10.746455738381023
7653,10.737157750137824
7654,10.727867806647936
7655,10.718585900950924
7656,10.70931202609237
7657,10.700046175123877
7658,10.690788341103062
7659,10.681538517093546
7660,10.672296696164953
7661,10.663062871392897
7662,10.653837035858995
7663,10.644619182650839
7664,10.635409304862005
7665,10.626207395592047
7666,10.617013447946489
7667,10.607827455036816
7668,10.598649409980478
7669,10.589479305900877
7670,10.580317135927368
7671,10.571162893195247
7672,10.562016570845747
7673,10.552878162026044
7674,10.543747659889235
7675,10.534625057594345
7676,10.52551034830632
7677,10.516403525196012
7678,10.507304581440188
7679,10.498213510221516
7680,10.489130304728565
7681,10.480054958155797
7682,10.470987463703558
7683,10.461927814578084
7684,10.452876003991484
7685,10.44383202516174
7686,10.434795871312701
7687,10.425767535674087
7688,10.416747011481466
7689,10.407734291976263
7690,10.39872937040575
7691,10.389732240023042
7692,10.380742894087092
7693,10.371761325862682
7694,10.362787528620427
7695,10.353821495636758
7696,10.34486322019393
7697,10.335912695580006
7698,10.326969915088856
7699,10.318034872020153
7700,10.309107559679369
7701,10.300187971377767
7702,10.291276100432396
7703,10.28237194016609
7704,10.273475483907458
7705,10.264586724990881
7706,10.255705656756508
7707,10.246832272550249
7708,10.237966565723774
7709,10.229108529634502
7710,10.220258157645603
7711,10.211415443125986
7712,10.202580379450298
7713,10.193752959998918
7714,10.184933178157952
7715,10.17612102731923
7716,10.1673165008803
7717,10.15851959224442
